,2014-2015,2015-2016,2016-2017,2018-2019,2019-2020,2020-2021,2021-2022
1,1.5,2.75,2.75,2.25,2.25,2.25,1.167
2,8904.0,10769.0,9423.0,10769.0,9423.0,9423.0,9423.0
3,10.0,29.0,31.0,13.0,20.0,18.0,26.0
4,0.0,1.0,1.0,0.0,0.0,2.0,1.0
5,1.75,1.0,1.75,1.0,1.75,3.0,2.0
6,0.0,2376.0,2749.0,0.0,0.0,709.0,1839.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,13.0,39.0,41.0,16.0,18.0,16.0,24.0
9,2.0,7.0,8.0,2.0,7.0,7.0,8.0
10,100.0,97.0,100.0,92.0,30.0,100.0,81.0
11,3.0,1.0,2.0,22.0,26.0,10.333333333333334,8.0
12,12.0,12.0,5.0,12.0,1.0,12.0,3.0
13,0.0,0.0,5.0,0.0,1.0,0.0,3.0
14,0.0,0.0,1.0,0.0,0.0,0.0,0.0
15,30.0,34.0,32.0,23.0,35.0,56.0,38.0
16,30.0,21.0,29.0,31.0,20.0,28.0,31.0
17,40.0,45.0,39.0,46.0,45.0,17.0,31.0
