,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022
1,6.875,1.5,8.0,6.0,16.0
2,5385.0,36923.0,36923.0,36923.0,36923.0
3,26.0,32.0,25.0,31.0,29.0
4,1.0,8.0,11.0,15.0,4.0
5,4.0,1.0,1.0,5.0,1.0
6,2188.0,360.0,201.0,180.0,531.0
7,0.0,0.0,1.0,0.0,1.0
8,25.0,42.0,17.0,40.0,27.0
9,11.0,13.0,17.0,8.0,7.0
10,96.0,100.0,100.0,100.0,79.0
11,6.0,8.5,8.5,8.5,11.0
12,2.0,5.0,4.0,2.0,4.0
13,2.0,5.0,4.0,2.0,4.0
14,0.0,0.0,0.0,1.0,0.0
15,65.0,50.0,72.0,58.0,45.0
16,15.0,19.0,8.0,26.0,21.0
17,19.0,31.0,20.0,16.0,34.0
